influencer_name,platform,followers_count,engagement_avg,average_views,average_likes,average_comments,shares_avg
aanandaaudio,Instagram,22400000,596600,NULL,NULL,NULL,NULL
aanandaaudio,TikTok,NULL,NULL,NULL,NULL,NULL,3300
aanandaaudio,YouTube,NULL,NULL,132300,3600,126,NULL
AboFlah,Instagram,7200000,949400,NULL,NULL,NULL,NULL
AboFlah,YouTube,NULL,NULL,0,NULL,NULL,NULL
aMOODIEsqueezie,Instagram,7600000,607300,NULL,NULL,NULL,NULL
aMOODIEsqueezie,YouTube,NULL,NULL,5300000,430400,5400,NULL
"Anuel AA",Instagram,27900000,892100,NULL,NULL,NULL,NULL
"Anuel AA",YouTube,NULL,NULL,104200,7400,373,NULL
Apple,Instagram,27400000,111200,NULL,NULL,NULL,NULL
Apple,YouTube,NULL,NULL,4300000,35000,NULL,NULL
atv,Instagram,38100000,12200000,NULL,NULL,NULL,NULL
atv,YouTube,NULL,NULL,41200,420,25,NULL
AvrilLavigne,Instagram,10700000,263000,NULL,NULL,NULL,NULL
AvrilLavigne,YouTube,NULL,NULL,2800000,130400,6500,NULL
Badabun,Instagram,16800000,561900,NULL,NULL,NULL,NULL
Badabun,TikTok,NULL,NULL,NULL,NULL,NULL,26200
Badabun,YouTube,NULL,NULL,4900,129,14,NULL
BanderitaX,Instagram,61100000,1000000,NULL,NULL,NULL,NULL
BanderitaX,TikTok,NULL,NULL,NULL,NULL,NULL,1000
BanderitaX,YouTube,NULL,NULL,1400000,101200,3800,NULL
barbie,Instagram,16400000,268000,NULL,NULL,NULL,NULL
barbie,Instagram,6100000,1200000,NULL,NULL,NULL,NULL
barbie,YouTube,NULL,NULL,161900,365,NULL,NULL
bbtvch7,TikTok,NULL,NULL,NULL,NULL,NULL,2300
bbtvch7,YouTube,NULL,NULL,12700,235,4,NULL
"Beast Reacts",TikTok,NULL,NULL,NULL,NULL,NULL,208
"Beast Reacts",YouTube,NULL,NULL,10300000,345400,9100,NULL
bhaktisongs,TikTok,NULL,NULL,NULL,NULL,NULL,3300
bhaktisongs,YouTube,NULL,NULL,2800,45,6,NULL
"Billie Eilish",Instagram,101700000,3400000,NULL,NULL,NULL,NULL
"Billie Eilish",YouTube,NULL,NULL,1300000,149700,7200,NULL
Bizarrap,Instagram,11500000,1100000,NULL,NULL,NULL,NULL
Bizarrap,Instagram,31300000,270600,NULL,NULL,NULL,NULL
Bizarrap,YouTube,NULL,NULL,80500000,5600000,313600,NULL
bomberball,Instagram,11900000,236000,NULL,NULL,NULL,NULL
bomberball,TikTok,NULL,NULL,NULL,NULL,NULL,2700
bomberball,YouTube,NULL,NULL,892800,30900,713,NULL
brancoala,Instagram,35400000,174600,NULL,NULL,NULL,NULL
brancoala,Instagram,17700000,172200,NULL,NULL,NULL,NULL
brancoala,TikTok,NULL,NULL,NULL,NULL,NULL,959
brancoala,TikTok,NULL,NULL,NULL,NULL,NULL,2300
brancoala,YouTube,NULL,NULL,398200,8200,202,NULL
"Brent Rivera",Instagram,22100000,1200000,NULL,NULL,NULL,NULL
"Brent Rivera",TikTok,NULL,NULL,NULL,NULL,NULL,433
"Brent Rivera",YouTube,NULL,NULL,3900000,281500,11500,NULL
brunoberti10,Instagram,9000000,725600,NULL,NULL,NULL,NULL
brunoberti10,TikTok,NULL,NULL,NULL,NULL,NULL,22400
brunoberti10,YouTube,NULL,NULL,116300,7000,194,NULL
"Camila Cabello",Instagram,60900000,418100,NULL,NULL,NULL,NULL
"Camila Cabello",TikTok,NULL,NULL,NULL,NULL,NULL,950
"Camila Cabello",TikTok,NULL,NULL,NULL,NULL,NULL,2000
"Camila Cabello",YouTube,NULL,NULL,109400,14200,146,NULL
camilaloures,Instagram,17600000,196300,NULL,NULL,NULL,NULL
camilaloures,Instagram,26400000,398900,NULL,NULL,NULL,NULL
camilaloures,Instagram,10800000,376800,NULL,NULL,NULL,NULL
camilaloures,YouTube,NULL,NULL,310400,28200,456,NULL
CanalCanalha,Instagram,6600000,514500,NULL,NULL,NULL,NULL
CanalCanalha,YouTube,NULL,NULL,1100000,127400,2100,NULL
CharliesVlogs,Instagram,47700000,1900000,NULL,NULL,NULL,NULL
CharliesVlogs,TikTok,NULL,NULL,NULL,NULL,NULL,35200
CharliesVlogs,YouTube,NULL,NULL,464700,34000,802,NULL
chetakvideo,Instagram,17000000,333600,NULL,NULL,NULL,NULL
chetakvideo,YouTube,NULL,NULL,15600,308,10,NULL
CinemaSins,Instagram,11700000,1500000,NULL,NULL,NULL,NULL
CinemaSins,YouTube,NULL,NULL,296000,10200,874,NULL
cleanbandit,Instagram,6400000,386600,NULL,NULL,NULL,NULL
cleanbandit,TikTok,NULL,NULL,NULL,NULL,NULL,2100
cleanbandit,YouTube,NULL,NULL,64800,2100,100,NULL
coisadenerd,TikTok,NULL,NULL,NULL,NULL,NULL,1200
coisadenerd,YouTube,NULL,NULL,1100000,126100,3700,NULL
ColdplayVEVO,Instagram,15400000,381300,NULL,NULL,NULL,NULL
ColdplayVEVO,YouTube,NULL,NULL,66200,6900,188,NULL
collegehumor,Instagram,7500000,463600,NULL,NULL,NULL,NULL
collegehumor,YouTube,NULL,NULL,194600,8400,360,NULL
colorstv,TikTok,NULL,NULL,NULL,NULL,NULL,10000
colorstv,YouTube,NULL,NULL,20200,290,8,NULL
craftingeek,Instagram,21100000,223600,NULL,NULL,NULL,NULL
craftingeek,TikTok,NULL,NULL,NULL,NULL,NULL,4200
craftingeek,YouTube,NULL,NULL,231200,9200,113,NULL
"Crafty Panda",Instagram,14000000,286300,NULL,NULL,NULL,NULL
"Crafty Panda",YouTube,NULL,NULL,75000,540,15,NULL
"Cris Devil Gamer",TikTok,NULL,NULL,NULL,NULL,NULL,1200
"Cris Devil Gamer",YouTube,NULL,NULL,460500,19900,669,NULL
DaddyYankeeOFFTV,Instagram,44900000,1800000,NULL,NULL,NULL,NULL
DaddyYankeeOFFTV,TikTok,NULL,NULL,NULL,NULL,NULL,20600
DaddyYankeeOFFTV,YouTube,NULL,NULL,1700000,174600,15800,NULL
dangmattsmith,Instagram,14600000,328400,NULL,NULL,NULL,NULL
dangmattsmith,YouTube,NULL,NULL,287900,9300,642,NULL
"Daniel LaBelle",TikTok,NULL,NULL,NULL,NULL,NULL,11800
"Daniel LaBelle",YouTube,NULL,NULL,5600000,273600,2400,NULL
DanielSaboya,TikTok,NULL,NULL,NULL,NULL,NULL,1900
DanielSaboya,YouTube,NULL,NULL,33900,1600,20,NULL
davidguettavevo,TikTok,NULL,NULL,NULL,NULL,NULL,302
davidguettavevo,TikTok,NULL,NULL,NULL,NULL,NULL,807
davidguettavevo,YouTube,NULL,NULL,267400,8700,358,NULL
Denis,Instagram,12600000,709000,NULL,NULL,NULL,NULL
Denis,TikTok,NULL,NULL,NULL,NULL,NULL,2000
Denis,YouTube,NULL,NULL,194200,9100,461,NULL
"Desi Gamers",Instagram,4900000,1000000,NULL,NULL,NULL,NULL
"Desi Gamers",YouTube,NULL,NULL,727800,94700,3800,NULL
destinws2,TikTok,NULL,NULL,NULL,NULL,NULL,498
destinws2,YouTube,NULL,NULL,1900000,72200,4700,NULL
"Dobre Brothers",TikTok,NULL,NULL,NULL,NULL,NULL,2000
"Dobre Brothers",YouTube,NULL,NULL,284400,10200,381,NULL
EdisonPts,TikTok,NULL,NULL,NULL,NULL,NULL,603
EdisonPts,YouTube,NULL,NULL,2000000,153800,7600,NULL
efdewe,Instagram,18100000,278900,NULL,NULL,NULL,NULL
efdewe,YouTube,NULL,NULL,195000,11200,670,NULL
elrubius,Instagram,16200000,1500000,NULL,NULL,NULL,NULL
elrubius,YouTube,NULL,NULL,2300000,194600,2200,NULL
eltreceok,Instagram,11200000,496800,NULL,NULL,NULL,NULL
eltreceok,YouTube,NULL,NULL,3600,40,7,NULL
epicfortnite,Instagram,26100000,120300,NULL,NULL,NULL,NULL
epicfortnite,YouTube,NULL,NULL,321300,10300,433,NULL
erosentertainment,Instagram,7900000,1400000,NULL,NULL,NULL,NULL
erosentertainment,YouTube,NULL,NULL,64100,1000,31,NULL
failarmy,Instagram,39800000,789300,NULL,NULL,NULL,NULL
failarmy,YouTube,NULL,NULL,2200000,19900,642,NULL
fcbarcelona,Instagram,31800000,167400,NULL,NULL,NULL,NULL
fcbarcelona,Instagram,107100000,687900,NULL,NULL,NULL,NULL
fcbarcelona,YouTube,NULL,NULL,207500,13200,356,NULL
"Fede Vigevani",TikTok,NULL,NULL,NULL,NULL,NULL,721
"Fede Vigevani",YouTube,NULL,NULL,3000000,230200,9000,NULL
felipeneto,Instagram,23100000,487800,NULL,NULL,NULL,NULL
felipeneto,Instagram,15400000,236000,NULL,NULL,NULL,NULL
felipeneto,YouTube,NULL,NULL,280600,34000,245,NULL
filmigaane,TikTok,NULL,NULL,NULL,NULL,NULL,1100
filmigaane,YouTube,NULL,NULL,64500,631,33,NULL
Flamingo,TikTok,NULL,NULL,NULL,NULL,NULL,2300
Flamingo,YouTube,NULL,NULL,2100000,68300,7100,NULL
francinyehlke,Instagram,15200000,188600,NULL,NULL,NULL,NULL
francinyehlke,YouTube,NULL,NULL,197200,19200,629,NULL
FutPardias,TikTok,NULL,NULL,NULL,NULL,NULL,249
FutPardias,YouTube,NULL,NULL,1400000,110100,2500,NULL
Genierock,Instagram,18300000,927900,NULL,NULL,NULL,NULL
Genierock,Instagram,307000000,396000,NULL,NULL,NULL,NULL
Genierock,TikTok,NULL,NULL,NULL,NULL,NULL,492
Genierock,YouTube,NULL,NULL,16500,340,20,NULL
geonews,TikTok,NULL,NULL,NULL,NULL,NULL,9000
geonews,YouTube,NULL,NULL,3800,53,5,NULL
gmmgrammyofficial,Instagram,21700000,638000,NULL,NULL,NULL,NULL
gmmgrammyofficial,YouTube,NULL,NULL,2400,53,2,NULL
gordonramsay,TikTok,NULL,NULL,NULL,NULL,NULL,835
gordonramsay,YouTube,NULL,NULL,218100,7200,338,NULL
hamaarbhojpuri,Instagram,6200000,461500,NULL,NULL,NULL,NULL
hamaarbhojpuri,YouTube,NULL,NULL,13500,177,17,NULL
"Harsh Beniwal",Instagram,21500000,120000,NULL,NULL,NULL,NULL
"Harsh Beniwal",YouTube,NULL,NULL,11600000,1300000,55400,NULL
"Hindi Fairy Tales",Instagram,4000000,1100000,NULL,NULL,NULL,NULL
"Hindi Fairy Tales",YouTube,NULL,NULL,557200,9300,NULL,NULL
htbhakti,Instagram,14900000,248000,NULL,NULL,NULL,NULL
htbhakti,YouTube,NULL,NULL,101800,149,55,NULL
ibighit,Instagram,13000000,888500,NULL,NULL,NULL,NULL
ibighit,Instagram,13500000,2000000,NULL,NULL,NULL,NULL
ibighit,Instagram,11700000,804900,NULL,NULL,NULL,NULL
ibighit,TikTok,NULL,NULL,NULL,NULL,NULL,12200
ibighit,YouTube,NULL,NULL,401700,62300,2600,NULL
inventonahoratv,Instagram,5900000,447000,NULL,NULL,NULL,NULL
inventonahoratv,YouTube,NULL,NULL,1200000,152900,1700,NULL
jacksepticeye,Instagram,7700000,322300,NULL,NULL,NULL,NULL
jacksepticeye,TikTok,NULL,NULL,NULL,NULL,NULL,1900
jacksepticeye,YouTube,NULL,NULL,1900000,127600,5200,NULL
"James Charles",Instagram,23300000,432000,NULL,NULL,NULL,NULL
"James Charles",TikTok,NULL,NULL,NULL,NULL,NULL,752
"James Charles",TikTok,NULL,NULL,NULL,NULL,NULL,752
"James Charles",YouTube,NULL,NULL,1000000,54800,2200,NULL
JbalvinTube,Instagram,51900000,363000,NULL,NULL,NULL,NULL
JbalvinTube,YouTube,NULL,NULL,0,NULL,NULL,NULL
jeffreestar,TikTok,NULL,NULL,NULL,NULL,NULL,872
jeffreestar,YouTube,NULL,NULL,878500,36700,3200,NULL
"Jessica Jane",Instagram,6000000,582300,NULL,NULL,NULL,NULL
"Jessica Jane",Instagram,19300000,357900,NULL,NULL,NULL,NULL
"Jessica Jane",YouTube,NULL,NULL,826400,46200,1100,NULL
jordanmatter,Instagram,5900000,537800,NULL,NULL,NULL,NULL
jordanmatter,TikTok,NULL,NULL,NULL,NULL,NULL,417
jordanmatter,TikTok,NULL,NULL,NULL,NULL,NULL,3000
jordanmatter,YouTube,NULL,NULL,4900000,137000,12500,NULL
jpgameplayfull,Instagram,19200000,465100,NULL,NULL,NULL,NULL
jpgameplayfull,Instagram,9700000,1100000,NULL,NULL,NULL,NULL
jpgameplayfull,TikTok,NULL,NULL,NULL,NULL,NULL,915
jpgameplayfull,TikTok,NULL,NULL,NULL,NULL,NULL,915
jpgameplayfull,YouTube,NULL,NULL,112700,6000,207,NULL
jquintanac5,TikTok,NULL,NULL,NULL,NULL,NULL,19500
jquintanac5,TikTok,NULL,NULL,NULL,NULL,NULL,1600
jquintanac5,YouTube,NULL,NULL,835100,37500,10600,NULL
"Juanpa Zurita",Instagram,28600000,485800,NULL,NULL,NULL,NULL
"Juanpa Zurita",TikTok,NULL,NULL,NULL,NULL,NULL,782
"Juanpa Zurita",YouTube,NULL,NULL,1900000,149400,4200,NULL
jypentertainment,Instagram,10300000,2100000,NULL,NULL,NULL,NULL
jypentertainment,Instagram,9900000,2000000,NULL,NULL,NULL,NULL
jypentertainment,Instagram,8500000,1400000,NULL,NULL,NULL,NULL
jypentertainment,YouTube,NULL,NULL,2300000,455200,18400,NULL
"Karina Garcia",TikTok,NULL,NULL,NULL,NULL,NULL,513
"Karina Garcia",YouTube,NULL,NULL,220800,9200,301,NULL
KatyPerryMusic,Instagram,156600000,302600,NULL,NULL,NULL,NULL
KatyPerryMusic,YouTube,NULL,NULL,151600,10700,824,NULL
kidrauhl,Instagram,9100000,562100,NULL,NULL,NULL,NULL
kidrauhl,YouTube,NULL,NULL,2700000,162700,7900,NULL
"Kimberly Loaiza",Instagram,33900000,1200000,NULL,NULL,NULL,NULL
"Kimberly Loaiza",TikTok,NULL,NULL,NULL,NULL,NULL,7800
"Kimberly Loaiza",TikTok,NULL,NULL,NULL,NULL,NULL,4500
"Kimberly Loaiza",YouTube,NULL,NULL,9200000,646500,42300,NULL
laharimusic,TikTok,NULL,NULL,NULL,NULL,NULL,4300
laharimusic,YouTube,NULL,NULL,54900,2100,56,NULL
latenight,TikTok,NULL,NULL,NULL,NULL,NULL,647
latenight,YouTube,NULL,NULL,88800,2200,121,NULL
"Like Nastya",TikTok,NULL,NULL,NULL,NULL,NULL,749
"Like Nastya",YouTube,NULL,NULL,13700000,74200,NULL,NULL
littlemixmusic,Instagram,15400000,232000,NULL,NULL,NULL,NULL
